List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_µm3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions - NOT IMPORTED, NOT handled by ICES	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece stagnina			(Sprengel) A.Braun 1863	162694	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162694	AU	rotational ellipsoid	?/6*d^2*l	1			cell	3-5x3.8-9	6,4				4		1	53,589333			9,079425				Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece stagnina			(Sprengel) A.Braun 1863	162694	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162694	AU	rotational ellipsoid	?/6*d^2*l	2			colony	3-5x3.8-9	6,4				4		20	1071,786667			181,588492	based on individual cell			Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece stagnina			(Sprengel) A.Braun 1863	162694	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162694	AU	rotational ellipsoid	?/6*d^2*l	3			colony	3-5x3.8-9	6,4				4		50	2679,466667			453,971229	based on individual cell			Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece stagnina			(Sprengel) A.Braun 1863	162694	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162694	AU	rotational ellipsoid	?/6*d^2*l	4			colony	3-5x3.8-9	6,4				4		100	5358,933333			907,942459	based on individual cell			Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece stagnina			(Sprengel) A.Braun 1863	162694	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162694	AU	rotational ellipsoid	?/6*d^2*l	5			colony	3-5x3.8-9	6,4				4		200	10717,866667			1815,884918	based on individual cell			Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	1			cell	 1-2	2				1		1	1,046667			0,225452				Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	2			colony	 1-2	2				1		20	20,933333			4,509037	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	3			colony	 1-2	2				1		50	52,333333			11,272593	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	4			colony	 1-2	2				1		100	104,666667			22,545187	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	5			colony	 1-2	2				1		200	209,333333			45,090373	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	6			cell	 2-4	3				2		1	6,280000			1,212657				Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	7			colony	 2-4	3				2		20	125,600000			24,253133	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	8			colony	 2-4	3				2		50	314,000000			60,632833	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	9			colony	 2-4	3				2		100	628,000000			121,265666	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Aphanothece	Aphanothece			Nägeli 1849	146715	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146715	AU	rotational ellipsoid	?/6*d^2*l	10			colony	 2-4	3				2		200	1256,000000			242,531332	based on individual cell			Genus	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus cumulatus			Bachmann 1921	162699	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162699	AU	sphere	?/6*d^3	1			cell	 5-7					6		1	113,040000			18,299480				Species	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus dispersus			(Keissler) Lemmermann 1904	146569	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146569	AU	sphere	?/6*d^3	1			cell	3					3		1	14,130000			2,596792				Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus dispersus			(Keissler) Lemmermann 1904	146569	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146569	AU	sphere	?/6*d^3	2			cell	4					4		1	33,493333			5,839688				Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus distans			(G.M.Smith) Komárková-Legnerová & Cronberg 1994	162704	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162704	AU	sphere	?/6*d^3	1			cell	 5.5-7.5					6,5		1	143,720417			22,927864				Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus minimus			(Keissler) Lemmermann 1904	162714	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162714	AU	sphere	?/6*d^3	1			cell	 1.7-3					2,5		1	8,177083			1,553759				Species	Spherical or irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus minor			(Kützing) Nägeli 1849	146614	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146614	AU	sphere	?/6*d^3	1			cell	 3-4					3,5		1	22,437917			4,008910				Species	Irregular / filled with cells (cells also inside colony)										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus minutus			(Kützing) Nägeli 1849	146567	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146567	AU	sphere	?/6*d^3	1			cell	  4-10					6		1	113,040000			18,299480				Species	Solitary or spherical few-celled colonies										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus turgidus			(Kützing) Nägeli 1849	146566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146566	AU	sphere	?/6*d^3	1			cell	 6-10					8,7		1	344,616570			52,120959				Species	Solitary or spherical several-celled colonies										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus turgidus			(Kützing) Nägeli 1849	146566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146566	AU	sphere	?/6*d^3	2			cell	 10-20					15		1	1766,250000			241,788557				Species	Solitary or spherical several-celled colonies										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus turgidus			(Kützing) Nägeli 1849	146566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146566	AU	sphere	?/6*d^3	3			cell	 20-30					25		1	8177,083333			1019,491645				Species	Solitary or spherical several-celled colonies										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	1			cell	<2					1		1	0,523333			0,117594				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	2			cell	 2-4					3		1	14,130000			2,596792				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	3			cell	 4-6					5		1	65,416667			10,949270				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	4			cell	 6-8					7		1	179,503333			28,250611				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	5			cell	 8-10					9		1	381,510000			57,343978				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	6			cell	 10-20					15		1	1766,250000			241,788557				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcus	Chroococcus			Nägeli 1849	146565	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146565	AU	sphere	?/6*d^3	7			cell	 20-30					25		1	8177,083333			1019,491645				Genus	Solitary or spherical or irregular colony/ filled with cells arranged in packet-like groups										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	1			cell	<2					1,5		1	1,766250			0,368499				Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	2			colony	<2					1,5		20	35,325000			7,369970	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	3			colony	<2					1,5		50	88,312500			18,424926	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	4			colony	<2					1,5		100	176,625000			36,849852	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	5			colony	<2					1,5		200	353,250000			73,699703	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	6			cell	 2-3					2,5		1	8,177083			1,553759				Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	7			colony	 2-3					2,5		20	163,541667			31,075181	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	8			colony	 2-3					2,5		50	408,854167			77,687952	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	9			colony	 2-3					2,5		100	817,708333			155,375905	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	10			colony	 2-3					2,5		200	1635,416667			310,751810	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	11			cell	<2	2				1		1	1,046667			0,225452				Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	12			colony	<2	2				1		20	20,933333			4,509037	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	13			colony	<2	2				1		50	52,333333			11,272593	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	14			colony	<2	2				1		100	104,666667			22,545187	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	15			colony	<2	2				1		200	209,333333			45,090373	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	16			cell	0.8-1.5					1,2		1	0,904320			0,196535				Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	17			colony	0.8-1.5					1,2		20	18,086400			3,930703	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	18			colony	0.8-1.5					1,2		50	45,216000			9,826758	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	19			colony	0.8-1.5					1,2		100	90,432000			19,653515	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	20			colony	0.8-1.5					1,2		200	180,864000			39,307030	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria aponina			Kützing 1836	146572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146572	AU	rotational ellipsoid	?/6*d^2*l	1			cell	4-6.5x8-12	10				5,2		1	141,509333			22,596488				Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria aponina			Kützing 1836	146572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146572	AU	rotational ellipsoid	?/6*d^2*l	2			colony	4-6.5x8-12	10				5,2		20	2830,186667			451,929761	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria aponina			Kützing 1836	146572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146572	AU	rotational ellipsoid	?/6*d^2*l	3			colony	4-6.5x8-12	10				5,2		50	7075,466667			1129,824402	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria salina			Komárek & Hindák 1988	177136	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177136	AU	rotational ellipsoid	?/6*d^2*l	1			cell	4-6.5x10.4-15	12,7				5		1	166,158333			26,273869				Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria salina			Komárek & Hindák 1988	177136	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177136	AU	rotational ellipsoid	?/6*d^2*l	2			colony	4-6.5x10.4-15	12,7				5		20	3323,166667			525,477378	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria salina			Komárek & Hindák 1988	177136	http://www.marinespecies.org/aphia.php?p=taxdetails&id=177136	AU	rotational ellipsoid	?/6*d^2*l	3			colony	4-6.5x10.4-15	12,7				5		50	8307,916667			1313,693445	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer										
